lookback_months,target_volatility,ewma_com,cagr,sharpe_ratio,sortino_ratio,volatility,max_drawdown,win_rate,total_return,n_months,success
12,0.4,45,0.025511485993794825,0.24561393210687107,0.39260262988813316,0.1444707771260004,-0.5495704463668066,0.5208333333333334,0.8305124819652387,288,True
12,0.3,45,0.021026001623510426,0.24561393210687105,0.3926026298881332,0.1083530828445003,-0.4350848348788856,0.5208333333333334,0.6477193774015524,288,True
12,0.4,60,0.02527313038674972,0.24505685561252644,0.3932723057426708,0.14300698088868224,-0.54890512697684,0.5208333333333334,0.8203287166675193,288,True
12,0.3,60,0.02080860737090595,0.2450568556125264,0.39327230574267086,0.10725523566651168,-0.43479987169365236,0.5208333333333334,0.6393200847486047,288,True
12,0.5,45,0.02854042271819024,0.24473723051934912,0.39104734623273596,0.18051741972582724,-0.6474953351468856,0.5208333333333334,0.9647746688153536,288,True
12,0.5,60,0.028287193501528085,0.24406030928173628,0.39149713464458685,0.17867844894562368,-0.6464746480975011,0.5208333333333334,0.9531979019366683,288,True
12,0.6,45,0.030171204583825162,0.24372566209841243,0.389267693562665,0.21653004416043656,-0.7293599756162596,0.5208333333333334,1.0409189157136334,288,True
12,0.6,60,0.029948580840559735,0.24303913121065987,0.3896921050675317,0.21432231548340297,-0.7280623764697224,0.5208333333333334,1.0303599803489472,288,True
12,0.3,90,0.01974922070720897,0.23683333040708748,0.38053084198947945,0.10607715691761505,-0.4408080287335138,0.5243055555555556,0.5989731474472018,288,True
12,0.4,90,0.023908538832696502,0.23683333040708748,0.38053084198947945,0.14143620922348674,-0.5549218474891764,0.5243055555555556,0.7630635018542935,288,True
12,0.5,90,0.026605932009927002,0.23562144545922475,0.3783730395515284,0.17669690756968395,-0.6519931179161412,0.5243055555555556,0.8779778503186437,288,True
12,0.6,90,0.02801278147098185,0.23460348020289248,0.3765714467891134,0.21194235886669455,-0.73280167482911,0.5243055555555556,0.9407265378976903,288,True
12,0.4,120,0.022310585415727502,0.2264447051587939,0.3626108310758951,0.140464029090128,-0.5631347174393603,0.5277777777777778,0.69819901353946,288,True
