lookback_months,target_volatility,ewma_com,cagr,sharpe_ratio,sortino_ratio,volatility,max_drawdown,win_rate,total_return,n_months,success
12,0.3,45,0.022099971881134994,0.25405920941558824,0.41982787591926096,0.10927625082409438,-0.3635877783020635,0.5224913494809689,0.6929032816066707,289,True
12,0.4,45,0.02690520363359461,0.25405920941558824,0.41982787591926096,0.14570166776545918,-0.4664618865291944,0.5224913494809689,0.8953497938990445,289,True
12,0.5,45,0.03023975348564667,0.2532461591777443,0.41832563571091624,0.18205802153686435,-0.5587065312789568,0.5224913494809689,1.0492619859802903,289,True
12,0.6,45,0.03216222923167256,0.2523490523762709,0.41667904695527536,0.21838330614000068,-0.6403836316468187,0.5224913494809689,1.1433681069784303,289,True
12,0.3,60,0.02096618458898969,0.24553339863243423,0.408162541332997,0.1079779615074682,-0.3697003741564979,0.5190311418685121,0.6482517290091356,289,True
12,0.4,60,0.025450549413513768,0.2455333986324342,0.40816254133299706,0.14397061534329098,-0.47293309383277204,0.5190311418685121,0.8317360414103325,289,True
12,0.5,60,0.0284800641737748,0.24462003526677406,0.406468179830015,0.17988536517078066,-0.564999548178775,0.5190311418685121,0.966606143172041,289,True
12,0.6,60,0.030147140958230567,0.2437101769711581,0.4047918400616927,0.2157747559711515,-0.648273720820656,0.5190311418685121,1.0448300346271986,289,True
12,0.3,90,0.018561205512988677,0.2252995758325753,0.3751017302076444,0.10651249928624602,-0.3815500792498828,0.5121107266435986,0.5572442537739806,289,True
12,0.4,90,0.022300763884621544,0.22529957583257515,0.37510173020764426,0.14201666571499472,-0.48660341503250953,0.5121107266435986,0.7009309013476241,289,True
