asset_class,lookback_months,total_return,annual_return,annual_volatility,sharpe_ratio,max_drawdown,n_observations
total,3,-0.09727491734466998,0.012955859643187562,0.18633098668144868,0.06953142831437313,-0.723559599159809,289
total,6,0.8552221248792578,0.042965516344717306,0.18714473782562324,0.2295844213624189,-0.4552635525929498,289
total,9,-0.14753380395136229,0.01066751730742212,0.1864520037520685,0.057213208186311995,-0.6386559044936511,289
total,12,0.41454934233391794,0.03402564862546664,0.19919554002732892,0.17081531353964272,-0.5539874288738694,289
total,18,0.3265627170315164,0.030652243172945043,0.1954177088907512,0.15685499204210435,-0.6572400983511896,289
total,24,0.8048056910722949,0.044476196925717665,0.20017086813374865,0.22219115768634173,-0.5017850452363524,289
