,Total_Signals,Long_Pct,Short_Pct,Avg_Active_Positions,Total_Return,Annual_Return,Annual_Vol,Sharpe_Ratio
TSMOM_1W,39313.0,50.3217765115865,49.6782234884135,29.403889304412864,-0.2556560385505763,-0.010632722077218182,0.04125704886864362,-0.25771892000979535
TSMOM_2W,39364.0,50.54110354638757,49.45889645361244,29.44203440538519,-0.2597014447514151,-0.010850215713564645,0.04120652769869046,-0.26331303119989563
TSMOM_4W,39383.0,50.633522078053986,49.366477921946014,29.456245325355273,-0.20917616477426926,-0.008252535153369277,0.04192103657576386,-0.19685904327423956
TSMOM_8W,39380.0,51.07668867445404,48.92331132554597,29.454001495886313,-0.1257267393408712,-0.004314016371005433,0.04280276941526385,-0.10078825342238291
