,Total_Return,Annual_Return,Annual_Vol,Sharpe_Ratio,Max_Drawdown
TSMOM_1W,-0.2556560385505763,-0.010632722077218182,0.04125704886864362,-0.25771892000979535,-0.28458629141448505
TSMOM_2W,-0.2597014447514151,-0.010850215713564645,0.04120652769869046,-0.26331303119989563,-0.2597014447514151
TSMOM_4W,-0.20917616477426926,-0.008252535153369277,0.04192103657576386,-0.19685904327423956,-0.23266696993703434
TSMOM_8W,-0.1257267393408712,-0.004314016371005433,0.04280276941526385,-0.10078825342238291,-0.1769267279223173
