Date,strategy_returns,cumulative_returns
2006-11-10,0.004044365476935166,1.5685338239563649
2006-11-13,-0.006918612510747647,1.5576817462184096
2006-11-14,0.001808707141073917,1.5604991363163154
2006-11-15,0.01214798313368099,1.5794560535044098
2006-11-16,-0.013541492355111996,1.5580678614306445
2006-11-17,-0.002530001726515862,1.554125947051196
2006-11-20,0.0062710753071346,1.563871987901926
2006-11-21,-0.012452256851706273,1.5443982522253827
2006-11-22,0.006113171145848185,1.5538394230585852
2006-11-27,-0.0006162116329664138,1.5528819291303346
2006-11-28,0.01390053190213092,1.5744678139264532
2006-11-29,-0.0038835876019736315,1.568353230244582
2006-11-30,-0.013787019406020586,1.546730313823705
2006-12-01,0.006896540886205599,1.5573974026729238
2006-12-04,0.0003837882867426709,1.557995113553873
2006-12-05,0.0062851737690567955,1.5677873835739005
2006-12-06,0.014550746737465838,1.5905998607304785
2006-12-07,0.01915880859772909,1.6210738590177882
2006-12-08,0.0038142914987962023,1.6272571072571604
2006-12-11,0.014564937685654884,1.6509580056229
2006-12-12,-0.0069863101081854674,1.639423901020027
2006-12-13,0.005082600363456735,1.6477564375352112
2006-12-14,-0.004338164154282349,1.640608199622908
2006-12-15,0.002357546749167285,1.6444760101505862
2006-12-18,0.013311609510750355,1.6663666326475075
2006-12-19,-0.0024688210473688965,1.6622526716321941
2006-12-20,0.007676132519549211,1.6750123434206174
2006-12-21,0.005903207126683769,1.6849002882235813
2006-12-22,-0.005507417400572678,1.6756208390579888
2006-12-26,-0.0022357738791203784,1.6718745297547133
2006-12-27,-0.0045063430995859535,1.6643404895041796
2006-12-28,-0.0060695590540028425,1.654238676617166
2006-12-29,0.0022011563617180705,1.657879914604002
2007-01-02,0.0,1.657879914604002
2007-01-03,0.024571327733357396,1.6986162253282875
2007-01-04,0.0037319992254431058,1.7049554597655379
2007-01-05,0.015544543988161132,1.731458214907719
2007-01-08,-0.006831729698027218,1.7196293604000406
2007-01-09,-0.0193821221463132,1.6862992940903805
2007-01-10,0.00027458385186824794,1.6867623246459547
2007-01-11,0.011339210296232123,1.7058888773648766
2007-01-12,-0.014279263620666574,1.6815300403774205
2007-01-16,0.013049881311233037,1.7034738078256186
2007-01-17,0.011633401247040681,1.7232910021458783
2007-01-18,0.00585495656799357,1.7333807961174563
2007-01-19,-0.027301986089481603,1.6860560577340828
2007-01-22,-0.01736633452813695,1.656775444202281
2007-01-23,-0.004047293231513107,1.650069988160824
2007-01-24,0.006875562440784277,1.661415147396088
2007-01-25,0.005130128846929909,1.669938421170471
2007-01-26,-0.005663667552045294,1.6604804451205741
2007-01-29,0.027712424675752252,1.7064963843815377
2007-01-30,-0.019856177289965856,1.6726118896285722
2007-01-31,0.005714368186953004,1.682169809799785
2007-02-01,0.003131166332040042,1.6874369632730044
2007-02-02,0.022971498090970734,1.7261999182534637
2007-02-05,-0.0035525211187834695,1.720067556588626
2007-02-06,0.007983559338224167,1.733799817992406
2007-02-07,0.00838920508822863,1.7483450202474775
2007-02-08,0.004422094050745406,1.7560763663601642
2007-02-09,-0.004847700129828543,1.7475634347309712
2007-02-12,0.001891657292977438,1.7508692258472207
2007-02-13,0.0019427268311217431,1.7542706864700597
2007-02-14,-0.010625437404776766,1.7356307930999373
2007-02-15,0.004656459183863941,1.7437126870462647
2007-02-16,0.00036007718267547803,1.7443405581980118
2007-02-20,-0.00010678983828280606,1.7441542803518917
2007-02-21,-0.020095268500219088,1.709105031782414
2007-02-22,-0.01819866703736847,1.6780015983771146
2007-02-23,-0.0036830247200135505,1.6718214770100694
2007-02-26,0.0007318877119664611,1.6730450626056947
2007-02-27,0.015861521815449052,1.6995821033644443
2007-02-28,0.006096837755678297,1.7099441797011117
2007-03-01,0.0059003495971644455,1.7200334481529846
2007-03-02,0.01652545252973342,1.7484577792499905
2007-03-05,-0.010042967494188699,1.7308980746080216
2007-03-06,-0.01843718720500747,1.6989851827736866
2007-03-07,-0.005372698799668985,1.689857047121543
2007-03-08,0.0031644749210760926,1.695204557367363
2007-03-09,0.003983232413542316,1.7019569511078534
2007-03-12,-0.0014189192750540306,1.6995420115846143
2007-03-13,-2.960477028734424e-05,1.6994916970337677
2007-03-14,-0.0003752167400816293,1.6988540192994108
2007-03-15,-0.012493067440173762,1.6776301214652931
2007-03-16,-0.01834864040594036,1.6468478896323524
2007-03-19,-0.003961783735587682,1.64032343444822
2007-03-20,-0.011992091519543264,1.6206525257006654
2007-03-21,0.009228227643691071,1.635608276139154
2007-03-22,0.005109121363145186,1.6439647973245135
2007-03-23,0.007722107801068463,1.6566596707106152
2007-03-26,0.0004867966300069633,1.6574661270553857
2007-03-27,0.0031576047176596076,1.6626997499175367
2007-03-28,0.017376828881826102,1.6915921989537088
2007-03-29,0.006440234153359835,1.7024864488069675
2007-03-30,0.011226827959138565,1.7215999712704881
2007-04-02,0.023285695590052946,1.7616886241293366
2007-04-03,-0.01449242804915332,1.7361574784991303
2007-04-04,-0.0010589124515087874,1.7343190397273673
2007-04-05,0.004476412671155105,1.7420825674526286
2007-04-09,-0.012397123535174946,1.7204857546554435
2007-04-10,0.012486181958849487,1.74196805284568
2007-04-11,0.013912043508047811,1.7662023881864983
2007-04-12,0.026958940387650267,1.8138173330821437
2007-04-13,-0.021162490757995703,1.7754324405341004
2007-04-16,-0.018960899477646946,1.74176864449978
2007-04-17,-0.01694444166455242,1.712255347309907
2007-04-18,0.007905745790491159,1.7257920028141482
2007-04-19,0.012239590106575483,1.7469149895377993
2007-04-20,0.007047125679211369,1.7592257190199703
2007-04-23,0.022365860455212043,1.7985723159607907
2007-04-24,0.001988354705150786,1.802148515687785
2007-04-25,0.005745685775408375,1.8125030947795455
2007-04-26,0.009611490563384905,1.829923951171125
2007-04-27,0.017716627574244706,1.8623440323032139
2007-04-30,0.012286512768228331,1.885225746034941
2007-05-01,-0.01311938755148994,1.860492738850662
2007-05-02,-0.013296116691988234,1.8357554102903069
2007-05-03,-0.01896433314488533,1.8009415331170358
2007-05-04,-0.0012764929525623516,1.7986426439420349
2007-05-07,-0.0007944364208131658,1.7972137367176597
2007-05-08,0.010799699458800948,1.8166231049374388
2007-05-09,0.0029557364809925045,1.8219925641209163
2007-05-10,0.0318658774098864,1.8800519558109179
2007-05-11,-0.005800629405005743,1.8691464711531025
2007-05-14,0.005679131351423368,1.8797615994778303
2007-05-15,-0.010536452925519428,1.859955579873733
2007-05-16,0.012789965122801478,1.883744346870278
2007-05-17,0.02123513866962182,1.9237459192941846
2007-05-18,-0.012758700754859614,1.8992014207815278
2007-05-21,-0.011149100365080988,1.87802703352773
