Date,6M Lookback,9M Lookback,24M Lookback,18M Lookback,12M Lookback
2000-08-23,1.0,1.0,1.0,1.0,1.0
2000-08-24,1.0,1.0,1.0,1.0,1.0
2000-08-25,1.0,1.0,1.0,1.0,1.0
2000-08-28,1.0,1.0,1.0,1.0,1.0
2000-08-29,1.0,1.0,1.0,1.0,1.0
2000-08-30,1.0,1.0,1.0,1.0,1.0
2000-08-31,1.0,1.0,1.0,1.0,1.0
2000-09-01,0.9938364260527398,1.0,1.0,1.0,1.0
2000-09-05,0.9664278302086294,1.0,1.0,1.0,1.0
2000-09-06,0.9753431842945828,1.0,1.0,1.0,1.0
2000-09-07,0.9992611700601979,1.0,1.0,1.0,1.0
2000-09-08,0.9901115085049536,1.0,1.0,1.0,1.0
2000-09-11,1.000174149257628,1.0,1.0,1.0,1.0
2000-09-12,1.0033662459163877,1.0,1.0,1.0,1.0
2000-09-13,1.0382502877377753,1.0,1.0,1.0,1.0
2000-09-14,1.033883755923566,1.0,1.0,1.0,1.0
2000-09-15,1.0135359798761534,1.0,1.0,1.0,1.0
2000-09-18,1.0365483923878107,1.0,1.0,1.0,1.0
2000-09-19,1.0268132932383272,1.0,1.0,1.0,1.0
2000-09-20,1.0586436716397112,1.0,1.0,1.0,1.0
2000-09-21,1.0362591752129966,1.0,1.0,1.0,1.0
2000-09-22,1.0320646638279112,1.0,1.0,1.0,1.0
2000-09-25,1.0646093322898387,1.0,1.0,1.0,1.0
2000-09-26,1.111222975846958,1.0,1.0,1.0,1.0
2000-09-27,1.0726605124692077,1.0,1.0,1.0,1.0
2000-09-28,1.0827782302182714,1.0,1.0,1.0,1.0
2000-09-29,1.1201612069120135,1.0,1.0,1.0,1.0
2000-10-02,1.0685391814015934,1.0,1.0,1.0,1.0
2000-10-03,1.0645740800950803,1.0,1.0,1.0,1.0
2000-10-04,1.0672899565511156,1.0,1.0,1.0,1.0
2000-10-05,1.04925338337262,1.0,1.0,1.0,1.0
2000-10-06,1.0582201763402852,1.0,1.0,1.0,1.0
2000-10-09,1.0588280257532763,1.0,1.0,1.0,1.0
2000-10-10,1.0664517003972211,1.0,1.0,1.0,1.0
2000-10-11,1.1036439840403653,1.0,1.0,1.0,1.0
2000-10-12,1.0757980901372386,1.0,1.0,1.0,1.0
2000-10-13,1.0833079514665702,1.0,1.0,1.0,1.0
2000-10-16,1.1566396671498624,1.0,1.0,1.0,1.0
2000-10-17,1.197763646900009,1.0,1.0,1.0,1.0
2000-10-18,1.1933024604959859,1.0,1.0,1.0,1.0
2000-10-19,1.1553244577157482,1.0,1.0,1.0,1.0
2000-10-20,1.1152465043195383,1.0,1.0,1.0,1.0
2000-10-23,1.0515474715712234,1.0,1.0,1.0,1.0
2000-10-24,1.0694821403052106,1.0,1.0,1.0,1.0
2000-10-25,1.0433730828852026,1.0,1.0,1.0,1.0
2000-10-26,1.0123230108756844,1.0,1.0,1.0,1.0
2000-10-27,1.0308539161317858,1.0,1.0,1.0,1.0
2000-10-30,0.9924577881854857,1.0,1.0,1.0,1.0
2000-10-31,1.0047612472644636,1.0,1.0,1.0,1.0
2000-11-01,1.008736201146302,1.0,1.0,1.0,1.0
2000-11-02,1.0134745589748047,1.0,1.0,1.0,1.0
2000-11-03,1.005242599572885,1.0,1.0,1.0,1.0
2000-11-06,1.029057504283105,1.0,1.0,1.0,1.0
2000-11-07,1.027143841814474,1.0,1.0,1.0,1.0
2000-11-08,1.0511678156644224,1.0,1.0,1.0,1.0
2000-11-09,1.0561724358748756,1.0,1.0,1.0,1.0
2000-11-10,1.0375966712712366,1.0,1.0,1.0,1.0
2000-11-13,1.0159075882605675,1.0,1.0,1.0,1.0
2000-11-14,1.023005854329174,1.0,1.0,1.0,1.0
2000-11-15,0.9855664136065762,1.0,1.0,1.0,1.0
2000-11-16,0.9403282454522852,1.0,1.0,1.0,1.0
2000-11-17,0.9339263993614875,1.0,1.0,1.0,1.0
2000-11-20,0.9510128149610263,1.0,1.0,1.0,1.0
2000-11-21,0.9286287206734862,1.0,1.0,1.0,1.0
2000-11-22,0.9118686574326602,1.0,1.0,1.0,1.0
2000-11-27,0.8979552366574106,1.0,1.0,1.0,1.0
2000-11-28,0.9190886382477346,1.0,1.0,1.0,1.0
2000-11-29,0.9259253573236343,1.0,1.0,1.0,1.0
2000-11-30,0.8892853761818633,1.0,1.0,1.0,1.0
2000-12-01,0.8803735810740443,0.9803294944297262,1.0,1.0,1.0
2000-12-04,0.8539831058001165,0.953001723957175,1.0,1.0,1.0
2000-12-05,0.8561600605244194,0.9594416216092796,1.0,1.0,1.0
2000-12-06,0.8605336397457253,0.9609818876866477,1.0,1.0,1.0
2000-12-07,0.8403865848118246,0.9337686920831922,1.0,1.0,1.0
2000-12-08,0.7987139386686561,0.8968653320185358,1.0,1.0,1.0
2000-12-11,0.8005669559057793,0.8920728479899936,1.0,1.0,1.0
2000-12-12,0.798609140269587,0.8835972959011303,1.0,1.0,1.0
2000-12-13,0.8148209136463146,0.897249137271088,1.0,1.0,1.0
2000-12-14,0.7835729221037435,0.846946575606626,1.0,1.0,1.0
2000-12-15,0.7880964680138287,0.8620368479077848,1.0,1.0,1.0
2000-12-18,0.7861218742446735,0.86506864302655,1.0,1.0,1.0
2000-12-19,0.8234855629486563,0.9113268372540253,1.0,1.0,1.0
2000-12-20,0.7910762318060095,0.8993314605078158,1.0,1.0,1.0
2000-12-21,0.8061960944174104,0.9053521914125802,1.0,1.0,1.0
2000-12-22,0.7883705662989328,0.8869181649048097,1.0,1.0,1.0
2000-12-26,0.8048506303270399,0.9118346507173918,1.0,1.0,1.0
2000-12-27,0.7848518194538538,0.8991179312662432,1.0,1.0,1.0
2000-12-28,0.8086065253996688,0.9152826355023617,1.0,1.0,1.0
2000-12-29,0.7795279570697867,0.8956132353125448,1.0,1.0,1.0
2001-01-02,0.749368730012484,0.8594252947734916,1.0,1.0,1.0
2001-01-03,0.7400504599820305,0.844580302598311,1.0,1.0,1.0
2001-01-04,0.7369395422870466,0.8408702656556181,1.0,1.0,1.0
2001-01-05,0.7499195463134715,0.8565891891641919,1.0,1.0,1.0
2001-01-08,0.7217314053484527,0.8232099618638411,1.0,1.0,1.0
2001-01-09,0.71841454208955,0.8180605349127921,1.0,1.0,1.0
2001-01-10,0.705850476656257,0.793826134046784,1.0,1.0,1.0
2001-01-11,0.718728221916817,0.8152621224409202,1.0,1.0,1.0
2001-01-12,0.7417478569023782,0.8264351803542724,1.0,1.0,1.0
