Date,6M Lookback
2000-01-31,1.0
2000-02-29,1.0
2000-03-31,1.0
2000-04-30,1.0
2000-05-31,1.0
2000-06-30,1.0
2000-07-31,1.0
2000-08-31,1.0
2000-09-30,1.1221519967176594
2000-10-31,1.0000698583466745
2000-11-30,0.8872396448830024
2000-12-31,0.7716121698023607
2001-01-31,0.7193164184981571
2001-02-28,0.8466191168184514
2001-03-31,0.914330619494884
2001-04-30,0.998510503046589
2001-05-31,1.0461728410048696
2001-06-30,1.108191899543043
2001-07-31,1.0284510039472872
2001-08-31,0.893558172112877
2001-09-30,0.8266013284771624
2001-10-31,0.8991266444747513
2001-11-30,0.8572313611112585
2001-12-31,1.0147069106030147
2002-01-31,0.8391160199500282
2002-02-28,0.8252715540197706
2002-03-31,1.0530380603980383
2002-04-30,1.0483218554779317
2002-05-31,1.0984087622355914
2002-06-30,1.0923373907797294
2002-07-31,1.123831102669676
2002-08-31,1.010771573462349
2002-09-30,0.9498788466269634
2002-10-31,0.9245363128637791
2002-11-30,1.1085940413061977
2002-12-31,1.031327778464974
2003-01-31,1.028975210095236
2003-02-28,0.9376465892372777
2003-03-31,1.0744695076942354
2003-04-30,1.0169763316056588
2003-05-31,1.0877897535648935
2003-06-30,1.0420060577055863
2003-07-31,1.0764625107878036
2003-08-31,1.121816304027259
2003-09-30,1.0549720885599367
2003-10-31,0.9130720264799224
2003-11-30,0.9614781806389108
2003-12-31,0.94773653176987
2004-01-31,0.921170699614932
2004-02-29,0.8358699269819932
2004-03-31,0.8412464474272873
2004-04-30,0.8766452661655182
2004-05-31,0.9741552588460655
2004-06-30,0.9702512977634715
2004-07-31,0.9037427815560355
2004-08-31,1.075068769664521
2004-09-30,0.8620147665675246
2004-10-31,0.8471702453480465
2004-11-30,0.8613756703895575
2004-12-31,0.935619141395995
2005-01-31,0.8550446283022262
2005-02-28,0.9658234304557038
2005-03-31,0.9286852438586881
2005-04-30,0.9852686203888177
2005-05-31,0.9510011973871756
2005-06-30,0.9526500180069641
2005-07-31,0.9932651314868167
2005-08-31,0.8136471857810588
2005-09-30,0.871440689719418
2005-10-31,0.940479964034041
2005-11-30,0.9532649508343382
2005-12-31,1.0171488706440759
2006-01-31,0.9865226071756843
2006-02-28,1.1067379605446455
2006-03-31,0.9591778702049687
2006-04-30,0.9258280824035974
2006-05-31,0.9525403384390113
2006-06-30,0.9958365265039544
2006-07-31,1.0212100964221262
2006-08-31,0.9784273732468948
2006-09-30,1.0179067211573818
2006-10-31,1.1053601489432385
2006-11-30,1.249698814626734
2006-12-31,1.2199633357427195
2007-01-31,1.1130003205419472
2007-02-28,1.2286787657347684
2007-03-31,1.336621906690302
2007-04-30,1.4442846038915989
2007-05-31,1.4051795671271226
2007-06-30,1.3403700826522584
2007-07-31,1.4071397917063428
2007-08-31,1.3613100720768638
2007-09-30,1.4292859217842449
2007-10-31,1.5586053295004263
2007-11-30,1.4435391001798121
2007-12-31,1.3699726833102277
2008-01-31,1.3552922286319984
2008-02-29,1.3219079355866905
2008-03-31,1.4553892302224318
2008-04-30,1.521075963304895
2008-05-31,1.4789704722960502
2008-06-30,1.3855793288658826
2008-07-31,1.6227503310407667
2008-08-31,1.7380317108256595
2008-09-30,1.7813816408563505
2008-10-31,1.9351011081424585
2008-11-30,1.8500694476562574
2008-12-31,1.7365632308897951
2009-01-31,1.7508213539822766
2009-02-28,1.7288088145762706
2009-03-31,1.8797122722090394
2009-04-30,2.007098088744069
2009-05-31,2.201366884527493
2009-06-30,2.3471222543626893
2009-07-31,2.3043843440845246
2009-08-31,1.9351471658174872
2009-09-30,2.324302972809126
2009-10-31,2.3699787123058447
2009-11-30,2.55449919236584
2009-12-31,2.3252819225338803
2010-01-31,2.1213060903759593
2010-02-28,2.151269618770869
2010-03-31,2.3828662153971107
2010-04-30,2.230585057268221
2010-05-31,2.355082355645252
2010-06-30,2.7483013323582846
2010-07-31,3.08188450909757
2010-08-31,3.043509828915592
2010-09-30,3.0417099703400257
2010-10-31,2.916401921215086
2010-11-30,3.2376368091742758
2010-12-31,3.0074184241607664
2011-01-31,3.0482770958362537
2011-02-28,2.9934733735520562
2011-03-31,3.0509016814027876
2011-04-30,3.0304923199095635
2011-05-31,3.376701425766435
2011-06-30,3.451402186067706
2011-07-31,3.416254630723922
2011-08-31,3.859410537251883
2011-09-30,3.820756437629845
2011-10-31,3.9764299728436225
2011-11-30,3.8578514221650195
2011-12-31,3.859831093624193
2012-01-31,3.5021283502416813
2012-02-29,3.5903364383971677
2012-03-31,3.480496001074419
2012-04-30,3.595068209862016
2012-05-31,4.022928596002021
2012-06-30,4.3541697838989535
2012-07-31,3.8941340778350577
2012-08-31,4.341691983760529
2012-09-30,4.273304610436258
2012-10-31,4.131893715218546
2012-11-30,4.543523309176184
2012-12-31,4.830848865402236
2013-01-31,4.856637539807418
2013-02-28,4.665966724579213
2013-03-31,4.291890247947304
2013-04-30,4.49512531073733
2013-05-31,4.459474211943893
2013-06-30,4.2720492266077645
2013-07-31,4.27451165701651
2013-08-31,4.413751714314024
2013-09-30,4.07860509348251
2013-10-31,4.146171403567612
2013-11-30,3.9657595864160116
2013-12-31,4.0292460298564805
2014-01-31,3.9991797108412146
2014-02-28,4.472252759503649
2014-03-31,5.256968982873269
2014-04-30,5.083599145611556
2014-05-31,5.333252584941706
2014-06-30,5.63067552962936
2014-07-31,5.51827794212065
2014-08-31,5.7902270988777875
2014-09-30,5.374615857331494
2014-10-31,5.996269488700541
2014-11-30,5.8804162249894
2014-12-31,5.687922922559846
