,Quintiles,Full_Spectrum
strategy_name,Quintiles Strategy,Full Spectrum Strategy
total_return,32.229888815572316,2.8526698004364444
annual_return,0.14625263304422176,0.05395456165302126
annual_volatility,0.2885952774205073,0.1634441103001276
sharpe_ratio,0.5067741729921641,0.3301101615343991
max_drawdown,-0.3765884759464767,-0.25523847660016963
win_rate,0.5227272727272727,0.5227272727272727
avg_win,0.07482706551466158,0.039449015905029715
avg_loss,-0.05397831767582615,-0.03353397892720658
profit_factor,1.605648377308757,1.3625804781551416
skewness,0.8290487812894692,0.2714237678071763
kurtosis,3.944776171980815,1.2783218768603013
months_data,308,308
