Date,quintiles_returns,quintiles_cumulative,full_spectrum_returns,full_spectrum_cumulative
2000-01-31,0.0,1.0,0.0,1.0
2000-02-29,0.0,1.0,0.0,1.0
2000-03-31,0.0,1.0,0.0,1.0
2000-04-30,0.0,1.0,0.0,1.0
2000-05-31,0.0,1.0,0.0,1.0
2000-06-30,0.0,1.0,0.0,1.0
2000-07-31,0.0,1.0,0.0,1.0
2000-08-31,0.0,1.0,0.0,1.0
2000-09-30,0.12215199671765947,1.1221519967176594,0.06335094679473241,1.0633509467947324
2000-10-31,-0.10879287184630976,1.0000698583466745,-0.06472347084706942,0.9945271827896599
2000-11-30,-0.11282233188209878,0.8872396448830024,-0.04584442070748738,0.9489336602168185
2000-12-31,-0.13032271015785057,0.7716121698023607,-0.024104401689075468,0.9260601820946677
2001-01-31,-0.06777465850182046,0.7193164184981571,0.12335152884233534,1.0402911213560564
2001-02-28,0.1769773288173881,0.8466191168184514,0.13711938915753363,1.1829352044624044
2001-03-31,0.07997870746279497,0.914330619494884,-0.023001734093412204,1.155725643439624
2001-04-30,0.0920672257462072,0.998510503046589,0.07657029558849246,1.2442198975769965
2001-05-31,0.04773343676692079,1.0461728410048696,0.003987235699388346,1.2491808955705048
2001-06-30,0.059281847231479376,1.108191899543043,-0.02502718664377036,1.2179174121452296
2001-07-31,-0.07195585496396123,1.0284510039472872,-0.015440810769529172,1.1991117798513804
2001-08-31,-0.13116116501095273,0.893558172112877,-0.0337037241885768,1.158697247151996
2001-09-30,-0.07493283115232528,0.8266013284771624,-0.051018624027042284,1.0995821079383794
2001-10-31,0.08773917183414331,0.8991266444747513,0.04126252350552137,1.1449536405134375
2001-11-30,-0.04659553091985949,0.8572313611112585,-0.030427558478711487,1.1101154966613014
2001-12-31,0.18370250627277002,1.0147069106030147,0.05442773115596542,1.1705365644656536
2002-01-31,-0.17304591978055744,0.8391160199500282,-0.11028363188375706,1.0414455408836458
2002-02-28,-0.016498869764257452,0.8252715540197706,-0.02309940506153409,1.017388768485246
2002-03-31,0.2759897699961329,1.0530380603980383,0.15692165109627831,1.1770390938427602
2002-04-30,-0.004478665204488405,1.0483218554779317,0.0005756218310472355,1.1777166232411722
2002-05-31,0.04777817661239635,1.0984087622355914,0.019703060798974197,1.2009212454728555
2002-06-30,-0.005527424456724932,1.0923373907797294,0.015925582945490947,1.2200466163786359
2002-07-31,0.02883148755666573,1.123831102669676,0.02296066280964103,1.2480596953493492
2002-08-31,-0.10060188665249822,1.010771573462349,-0.049759956750435395,1.185956298886804
2002-09-30,-0.060243806250704544,0.9498788466269634,0.0057736697269212735,1.1928036188671383
2002-10-31,-0.02667975379510361,0.9245363128637791,-0.0010450023479458871,1.1915571362847837
2002-11-30,0.19908112410673662,1.1085940413061977,0.06308736181512875,1.2667293324649807
2002-12-31,-0.06969752674313937,1.031327778464974,-0.049197700204769504,1.2044091625257807
2003-01-31,-0.002281106374579879,1.028975210095236,-0.010629004405378818,1.1916074922314155
2003-02-28,-0.08875687184874509,0.9376465892372777,-0.07750020794519304,1.0992576637944307
2003-03-31,0.14592162977764925,1.0744695076942354,0.10572211091029919,1.215473504445102
2003-04-30,-0.053508429673313325,1.0169763316056588,0.017534842247171858,1.236786640601164
2003-05-31,0.06963133728730009,1.0877897535648935,0.019870373207475586,1.2613620527279292
2003-06-30,-0.04208873609009955,1.0420060577055863,-0.027900287550163456,1.2261696887519555
2003-07-31,0.0330674210839883,1.0764625107878036,0.02033717703313049,1.2511065187847625
2003-08-31,0.042132255220168835,1.121816304027259,-0.007747184862989654,1.2414139653004455
2003-09-30,-0.05958570509927085,1.0549720885599367,-0.04323223620874301,1.1877448635197443
2003-10-31,-0.13450598704816116,0.9130720264799224,-0.08518036566975098,1.086572321722764
2003-11-30,0.05301460646604624,0.9614781806389108,0.04548708195351858,1.1359973259693925
2003-12-31,-0.014292210833020902,0.94773653176987,0.060557828307313356,1.2047908569930141
2004-01-31,-0.02803082002687719,0.921170699614932,-0.00881184229289146,1.1941744299652741
2004-02-29,-0.09260039715613647,0.8358699269819932,-0.04214071165837378,1.1438510696423048
2004-03-31,0.006432245343132047,0.8412464474272873,-0.0012436628230509152,1.1424285045918836
2004-04-30,0.042079011265352864,0.8766452661655182,0.03842085317457729,1.1863215824292603
2004-05-31,0.11123084381332476,0.9741552588460655,0.08226386788190397,1.2839129843516721
2004-06-30,-0.0040075347816921625,0.9702512977634715,0.006705100795672225,1.2925217503246225
2004-07-31,-0.06854772197753807,0.9037427815560355,-0.07272897098170411,1.1985179734520417
2004-08-31,0.18957383849141435,1.075068769664521,0.11520821285448857,1.3365970872474349
2004-09-30,-0.1981770925812314,0.8620147665675246,-0.15852651587803174,1.1247110078733733
2004-10-31,-0.017220727295180552,0.8471702453480465,0.018204392083458937,1.1451856880412825
2004-11-30,0.01676808778343591,0.8613756703895575,0.013301327885078557,1.160418178367219
2004-12-31,0.08619174369396901,0.935619141395995,0.03745032542735255,1.203876216778887
2005-01-31,-0.08611892331910527,0.8550446283022262,-0.019203357736118067,1.1807577511180776
2005-02-28,0.12955908789631224,0.9658234304557038,0.0457359593474811,1.2347608396224372
2005-03-31,-0.03845235622363488,0.9286852438586881,-0.07213043872136846,1.1456969985445056
2005-04-30,0.06092847593338026,0.9852686203888177,0.0457053079450659,1.19806143267472
2005-05-31,-0.03477977710090788,0.9510011973871756,0.0029849195157265083,1.2016375496261502
2005-06-30,0.0017337734424716991,0.9526500180069641,0.025173105771026157,1.2318864987613258
