strategy,total_return,annualized_return,volatility,downside_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,information_ratio,max_drawdown,avg_drawdown_duration,max_drawdown_duration,win_rate,profit_factor,avg_win,avg_loss,n_trades_per_year,years_tested
momentum_vol_w20_t2.0,1.4127943485314844,0.05824035677284667,0.2012710633018382,0.15395875109989565,0.18999430988993746,0.24838053374461663,0.15182656086461838,0.3618404068222377,-0.38359794518943746,77.69565217391305,963,0.20326447334863557,1.1737906396253635,0.009298657077425863,-0.007921904267692658,252.0,15.55952380952381
momentum_vol_w30_t1.5,0.5379808216213826,0.028052298292646993,0.22271590384068357,0.13838559786958732,0.036155021504019225,0.058187401121288417,0.05902033033196758,0.21303218141409033,-0.4752989035280414,102.77142857142857,1357,0.3680183626625861,1.0893083716971685,0.008261787105599543,-0.007584433683115351,252.0,15.55952380952381
vol_w10_t3.0,0.0,0.0,0.0,,0.0,0.0,inf,,0.0,0.0,0,0.0,inf,0.0,,252.0,15.55952380952381
vol_w60_t1.0,0.106004507494037,0.006496400256744472,0.18213375076871025,0.1448328094208887,-0.07414111709808036,-0.09323577853146274,0.012808294682711479,0.13055888742098343,-0.5072025915763209,160.61904761904762,1501,0.4876307064524356,0.9776852354529239,0.007773220721366433,-0.007950637321187937,252.0,15.55952380952381
momentum_vol_w60_t2.5,-0.002396274371538998,-0.00015417985191057415,0.1956654636520677,0.20892237172295702,-0.10300325604598641,-0.09646731312545201,0.0002929354426946353,0.07661183208336039,-0.5263270654186283,267.07142857142856,3128,0.10048457026268809,1.2118898400694296,0.012122022930209444,-0.010002578228987355,252.0,15.55952380952381
vol_w30_t1.0,0.014356127391919715,0.0009165180876418155,0.18302906654370138,0.15621792088001415,-0.104264761180988,-0.12215936433449003,0.0014690295943104504,0.10707794838112294,-0.623893549314111,89.33333333333333,1399,0.5026778882938026,0.9404024806290393,0.007414580634990718,-0.007884475836379199,252.0,15.55952380952381
vol_w20_t1.0,-0.1339405244387627,-0.009199460612490995,0.17664731206951184,0.14339200431982022,-0.1652980748498501,-0.20363381313343515,0.017181781320759978,0.030765939522674472,-0.5354194911895251,214.75,1744,0.5059933690385106,0.9192133576905838,0.007293548479627221,-0.007934554495543244,252.0,15.55952380952381
vol_w10_t1.0,-0.28722888796016344,-0.021526197528085378,0.17330954495447862,0.1365911467305996,-0.23960710034171878,-0.3040182216932991,0.03510921490916463,-0.028304895398024336,-0.6131210163422467,11.666666666666666,39,0.5026778882938026,0.9393086394122797,0.00716021870167187,-0.007622860475500343,252.0,15.55952380952381
contrarian_vol_w60_t2.5,-0.49549105319056896,-0.043018406328493075,0.1956654636520677,0.5152646897546291,-0.32207219992871305,-0.12230297860795132,0.057552057411016044,-0.08922075301270434,-0.7474694783067637,0.0,0,0.11553175210405509,0.8251575076681141,0.010002578228987355,-0.012122022930209444,252.0,15.55952380952381
vol_w60_t2.5,-0.49549105319056896,-0.043018406328493075,0.1956654636520677,0.5152646897546291,-0.32207219992871305,-0.12230297860795132,0.057552057411016044,-0.08922075301270434,-0.7474694783067637,0.0,0,0.11553175210405509,0.8251575076681141,0.010002578228987355,-0.012122022930209444,252.0,15.55952380952381
vol_w20_t1.5,-0.5355065291200313,-0.04808755092275829,0.17608030810430816,0.1860122622180584,-0.3866846421146874,-0.3660379703513344,0.07225276327143662,-0.17865516896020922,-0.6655461846089497,11.142857142857142,39,0.38459576638612597,0.9030501790037453,0.007354177780706123,-0.008143708900893339,252.0,15.55952380952381
vol_w10_t1.5,-0.5217093199012683,-0.04629509182484148,0.16620570384821592,0.15641007485872868,-0.39887374674809095,-0.4238543577497802,0.0753457378315376,-0.17927971578917104,-0.6144354432940952,33.333333333333336,58,0.38153532262178014,0.9265754145640538,0.0074397740130284235,-0.00802932378313618,252.0,15.55952380952381
vol_w60_t3.0,-0.6053186281027427,-0.057999689836038315,0.19196532979893824,0.7812232064369501,-0.40632175569272894,-0.09984302718269726,0.07772993701720265,-0.15904074556078354,-0.746169263242838,0.0,0,0.05432287681713849,0.7080301746386055,0.01191645749518767,-0.016830437348620202,252.0,15.55952380952381
vol_w30_t2.5,-0.6466773315731021,-0.06467769752466823,0.1949989674603731,0.5816549585530078,-0.4342469020605255,-0.14558063380964256,0.08043959932621841,-0.18258025499057018,-0.8040529548434392,0.0,0,0.09614894159653149,0.760758609108371,0.009477971925213498,-0.01245857991186183,252.0,15.55952380952381
vol_w20_t3.0,-0.5944171574527468,-0.0563487030323514,0.17431638242487346,1.0721572448723695,-0.43798925821132173,-0.07121035967204607,0.08704436936549663,-0.18071618855551433,-0.6473560948640449,3605.0,3605,0.027033919918388168,0.5810268918002464,0.010951035786212955,-0.018847726225342868,252.0,15.55952380952381
vol_w30_t1.5,-0.72562800847086,-0.07975709058362757,0.22271590384068357,0.2886950892561749,-0.44791184133391426,-0.3455448128357586,0.09990837892529786,-0.20931707046121298,-0.7983023190003159,5.285714285714286,17,0.37515939811272636,0.9180136919740881,0.007584433683115351,-0.008261787105599543,252.0,15.55952380952381
contrarian_vol_w30_t1.5,-0.72562800847086,-0.07975709058362757,0.22271590384068357,0.2886950892561749,-0.44791184133391426,-0.3455448128357586,0.09990837892529786,-0.20931707046121298,-0.7983023190003159,5.285714285714286,17,0.37515939811272636,0.9180136919740881,0.007584433683115351,-0.008261787105599543,252.0,15.55952380952381
vol_w10_t2.5,-0.5971494993698716,-0.056758570438283695,0.17032893622489476,1.1511516869755778,-0.4506490332149735,-0.06667980536948313,0.08559970288771435,-0.21640392563823757,-0.6630697131360013,0.0,0,0.020913032389696506,0.582045455297767,0.010602440110611113,-0.01821582835860653,252.0,15.55952380952381
vol_w60_t2.0,-0.7107766851032654,-0.07663410200706999,0.2080359261798957,0.37116747765436825,-0.4645067983282235,-0.260351749074998,0.09573114562461771,-0.2425844030065471,-0.8005137879323903,14.0,14,0.22290232083652128,0.8378734661993213,0.008433527841254144,-0.010065395529839939,252.0,15.55952380952381
vol_w60_t1.5,-0.6560170072992686,-0.06628669641802698,0.18287136973637494,0.199087448775628,-0.4718436600678214,-0.43341103092476857,0.09139350035505678,-0.24573615769947815,-0.7252889555658577,4.5,7,0.3738842132109156,0.894235591029864,0.007707254156600505,-0.008618818389597192,252.0,15.55952380952381
